Size, MergeInsertionSort keyComparisons, MergeSort keyComparisons
100,585,413
200,1382,1017
300,2105,1609
400,2982,2200
500,3571,2781
600,4804,3686
700,5518,4197
800,6540,4913
900,6962,5705
1000,7810,6381
1100,9085,7216
1200,10281,8105
1300,11315,8996
1400,12354,9579
1500,13641,10530
1600,14190,11064
1700,14864,12001
1800,16027,13266
1900,16215,13325
2000,16859,13944
2100,18324,14939
2200,19580,16045
2300,21391,17227
2400,22757,18626
2500,23264,18700
2600,25196,20123
2700,25826,20791
2800,25781,20181
2900,28050,22146
3000,28762,22622
3100,28647,22099
3200,30943,24620
3300,29843,24600
3400,31908,26623
3500,31982,26496
3600,32413,26789
3700,35028,29469
3800,35477,29798
3900,36724,31006
4000,36395,30555
4100,40402,34066
4200,38804,32067
4300,42267,35328
4400,41378,33869
4500,44505,36967
4600,43997,36107
4700,46189,37791
4800,47453,39132
4900,48249,39282
5000,48363,39184
5100,50476,41453
5200,51388,42010
5300,54340,44460
5400,53961,43803
5500,57810,47026
5600,58370,47632
5700,58847,47303
5800,56806,44820
5900,60319,48866
6000,61373,49105
6100,64038,51403
6200,67018,54455
6300,63868,51006
6400,68861,55877
6500,65072,54617
6600,65226,54940
6700,65726,55158
6800,66620,55838
6900,67678,56252
7000,67161,55871
7100,73017,61776
7200,70383,59086
7300,72716,61325
7400,72884,61452
7500,74651,63229
7600,74304,62837
7700,76499,65237
7800,81008,69554
7900,80739,69108
8000,82518,70594
8100,78432,66487
8200,80483,68027
8300,84528,71445
8400,84299,70615
8500,86290,72919
8600,88561,75238
8700,87226,72853
8800,89848,75459
8900,93305,78577
9000,94638,79507
9100,94234,78333
9200,94648,79268
9300,103974,88061
9400,101412,84884
9500,99713,83187
9600,101083,84309
9700,103330,86201
9800,103316,85671
9900,105660,87787
10000,106718,87946
